Benchmark,DM-Median,DM-Mean,DM-Error,BF-Median,BF-Mean,BF-Error
BIT32,1.1054,1.1113,0.0191,0.9792,0.9876,0.0096
BIT64,1.4599,1.4278,0.0317,0.9700,0.9775,0.0140
BIT128,1.2958,1.3089,0.0219,0.9810,0.9844,0.0128
BIT256,1.2381,1.2363,0.0097,1.0001,0.9960,0.0101
PCM32,1.3736,1.3736,0.0002,1.2618,1.2618,0.0001
PCM64,1.3086,1.3086,0.0001,1.1818,1.1818,0.0001
PCM128,1.2424,1.2433,0.0019,1.2278,1.2277,0.0001
PCM256,1.1211,1.1211,0.0001,1.0253,1.0253,0.0001
MS32,1.1810,1.1811,0.0028,1.1793,1.1804,0.0026
MS64,1.1796,1.1801,0.0031,1.1824,1.1818,0.0025
MS128,1.1742,1.1749,0.0017,1.1725,1.1747,0.0029
MS256,1.1627,1.1633,0.0026,1.1630,1.1633,0.0026
LUD16,1.1565,1.1555,0.0003,1.1542,1.1546,0.0005
LUD32,1.0814,1.0813,0.0005,1.0811,1.0810,0.0009
LUD64,1.0992,1.0991,0.0007,1.0741,1.0940,0.0008
LUD128,0.9932,0.9935,0.0011,1.0088,1.0085,0.0007
NQU64,1.1897,1.1897,0.0004,1.0000,1.0000,0.0001
NQU96,1.1864,1.1857,0.0012,1.0000,0.9998,0.0005
NQU128,1.1872,1.1872,0.0001,1.0002,1.0002,0.0001
NQU256,1.1815,1.1818,0.0006,1.0002,1.0002,0.0003
SRAD16x16,0.9717,0.9642,0.0144,1.2232,1.2199,0.0076
SRAD32x32,0.9273,0.9209,0.0105,0.9858,0.9839,0.0066
DCT4x4,1.0008,1.0005,0.0005,0.9999,1.0002,0.0005
DCT8x8,1.0000,1.0001,0.0017,1.0012,1.0021,0.0023
DCT16x16,1.0103,1.0132,0.0057,1.0222,1.0165,0.0063